subjid,gender,age,field,English,tech problems,easier,colour-vision,time,comment
1,female,26-30,human or social sciences,australian,noprobs,easier-no,not-col-blind,under10,I made a mistake with one of them but couldn't go back! 
2,female,20-25,human or social sciences,australian,noprobs,easier-no,not-col-blind,under10, 
3,male,26-30,arts,australian,noprobs,easier-yes,not-col-blind,under10,"The test got a bit easier over time. I'm not sure I can explain why it just did. Except for the bits (I think there were two towards the end) where I had to qualify by saying ""on the left"" rather than ""big"" or ""small"" or ""on top of something"". "
4,female,20-25,physical or natural sciences,australian,noprobs,easier-no,not-col-blind,under10, 
5,female,20-25,physical or natural sciences,australian,noprobs,easier-maybe,not-col-blind,under10, 
6,female,30-40,physical or natural sciences,australian,noprobs,easier-yes,not-col-blind,under10, It got easier (i.e. faster) over time because I knew what to look for and how to describe it more efficiently
7,male,30-40,mathematics or engineering or computing,australian,noprobs,easier-no,not-col-blind,under10,
8,female,20-25,mathematics or engineering or computing,australian,noprobs,easier-no,not-col-blind,under10, 
9,male,26-30,mathematics or engineering or computing,australian,noprobs,easier-yes,not-col-blind,under10, 
10,male,26-30,mathematics or engineering or computing,australian,noprobs,easier-no,not-col-blind,under10, 
11,female,30-40,physical or natural sciences,australian,noprobs,easier-yes,not-col-blind,10-15," The task got easier in terms of the pattern of questioning and expected answer. Familiarity with the objects and colours  also meant that my descriptions got better e.g. a ""ball"" at first and then a ""sphere"".  Likewise a ""square"" as a ""cube"".  In retrospect I wish I had used the word ""adjacent"" rather than ""directly next to"" (its more succinct and accurate)  "
12,male,20-25,mathematics or engineering or computing,american,noprobs,easier-no,not-col-blind,10-15, I had to stop for a few minutes around scene 23.
14,male,30-40,cognitive science,british,noprobs,easier-no,not-col-blind,under10, I have a psych background (though new to this experiment) so couldn't help but think about the simplest most robust approach. My approach was to use unique identifiers to keep instructions to a minimum only referencing location if I felt there were two or more objects that could be confused. Reference location was relative rather than absolute incase the viewpoint to the friend changed. I thought there could be some objects hidden from view but chose to ignore this for now
15,male,30-40,mathematics or engineering or computing,australian,noprobs,easier-yes,not-col-blind,under10,"The first few I added redundant information. I used ""box"" interchangeably with ""cube"" since it was faster to type and was more natural."
16,female,20-25,human or social sciences,british,noprobs,easier-yes,not-col-blind,under10,thought of more words i could use to describe the shapes eg left or right/front back once i have thought of them i cold use them again.more aware of the factors to look for which make the shape different from the others
17,male,26-30,arts,australian,techprobs,easier-no,not-col-blind,under10, I had a message saying the server was taking too long to respond between scene 24 and 25. I refreshed the webpage and it came back ok... i think...
18,female,20-25,mathematics or engineering or computing,australian,noprobs,easier-yes,not-col-blind,under10,It got  because I'd already figured out descriptions for certain situations. ie when a wituation similar to one I'd already described was presented I didn't have to think about it again.
21,female,20-25,mathematics or engineering or computing,australian,noprobs,easier-yes,not-col-blind,under10, I started using a process to give answers looked out for similar things
22,female,30-40,cognitive science,american,noprobs,easier-no,not-col-blind,10-15, 
23,female,26-30,mathematics or engineering or computing,other,noprobs,easier-no,not-col-blind,under10, I speak Canadian English
24,male,26-30,mathematics or engineering or computing,american,noprobs,easier-no,not-col-blind,under10, I felt like I was probably answering the questions incorrectly the entire time!
27,female,20-25,mathematics or engineering or computing,australian,noprobs,easier-yes,not-col-blind,under10,The task got easier over time because i became familiar with the colours and shapes to describe.
28,female,26-30,physical or natural sciences,american,noprobs,easier-no,not-col-blind,under10," i used the words ""box sqaure and circle"" etc instead of the proper names as per the directions... oops!  duh."
29,female,26-30,arts,american,noprobs,easier-no,not-col-blind,under10, 
30,male,26-30,mathematics or engineering or computing,australian,noprobs,easier-no,not-col-blind,under10, 
31,female,20-25,physical or natural sciences,australian,noprobs,easier-yes,not-col-blind,under10, You got used to the pattern of objects appearing. You knew you could describe things in terms of just their colour or their positioning
32,male,20-25,mathematics or engineering or computing,australian,techprobs,easier-no,not-col-blind,under10,"Not really a technical problem - the connection timed out early on (minor network issues I assume).  I just hit ""back"" in the browser and continued where I left off"
33,female,20-25,mathematics or engineering or computing,australian,noprobs,easier-no,not-col-blind,under10, 
34,male,20-25,mathematics or engineering or computing,australian,noprobs,easier-no,not-col-blind,under10, 
36,male,20-25,mathematics or engineering or computing,australian,noprobs,easier-yes,not-col-blind,10-15,Many descriptions were repeated.
38,female,10-15,no college or university education,australian,noprobs,easier-yes,not-col-blind,under10, got use to the positions
