subjid,sceneid,sceneorder,desc,cleaned,pattern,pattern (normalised order)
1,1,18,small green ball to the left of the big blue box,small green ball left-of large blue cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type
1,2,8,red ball to the right of the big red box,red ball right-of large red cube,tg_col tg_type rel lm_size lm_col lm_type,tg_col tg_type rel lm_size lm_col lm_type
1,3,12,green ball on top of the big blue box,green ball on-top-of large blue cube,tg_col tg_type rel lm_size lm_col lm_type,tg_col tg_type rel lm_size lm_col lm_type
1,4,22,small red ball on top of the big red box,small red ball on-top-of large red cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type
1,5,2,yellow ball next to the red box,yellow ball next-to red cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type
1,6,32,small blue ball to the left of the big blue box,small blue ball left-of large blue cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type
1,7,14,yellow ball on top of the big red box,yellow ball on-top-of large red cube,tg_col tg_type rel lm_size lm_col lm_type,tg_col tg_type rel lm_size lm_col lm_type
1,8,16,blue ball on top of the big blue box,blue ball on-top-of large blue cube,tg_col tg_type rel lm_size lm_col lm_type,tg_col tg_type rel lm_size lm_col lm_type
1,9,24,big yellow ball to the left of the small red box,large yellow ball left-of small red cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type
1,10,4,blue ball next to the blue box,blue ball next-to blue cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type
1,11,10,big red ball on top of the small red box,large red ball on-top-of small red cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type
1,12,28,big blue ball on top of the small blue box,large blue ball on-top-of small blue cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type
1,13,6,green ball next to the blue box,green ball next-to blue cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type
1,14,26,big red ball to the left of the small red box,large red ball left-of small red cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type
1,15,20,big green ball on top of the small blue box,large green ball on-top-of small blue cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type
1,16,30,big red ball on top of the small red box,large red ball on-top-of small red cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type
2,17,32,big yellow ball,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
2,18,26,big blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
2,19,10,big yellow ball,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
2,20,28,big blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
2,21,14,big green ball,large green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
2,22,8,big red ball,large red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
2,23,4,big green ball,large green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
2,24,16,big red ball,large red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
2,25,18,small green ball,small green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
2,26,30,smaller red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
2,27,12,small green ball,small green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
2,28,2,small red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
2,29,20,small yellow ball,small yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
2,30,6,blue ball,blue ball,tg_col tg_type,tg_col tg_type
2,31,22,small yellow ball,small yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
2,32,24,blue ball,blue ball,tg_col tg_type,tg_col tg_type
3,1,20,small green ball,small green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
3,2,2,small red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
3,3,26,small green ball,small green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
3,4,16,small red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
3,5,8,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
3,6,24,small blue ball,small blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
3,7,12,small yellow ball,small yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
3,8,30,small blue ball,small blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
3,9,4,big yellow ball,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
3,10,10,big blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
3,11,14,big yellow ball,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
3,12,28,large blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
3,13,22,green ball,green ball,tg_col tg_type,tg_col tg_type
3,14,32,big red ball,large red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
3,15,18,big green ball,large green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
3,16,6,big red ball,large red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
4,17,12,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
4,18,32,big blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
4,19,6,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
4,20,26,big blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
4,21,4,Green ball,green ball,tg_col tg_type,tg_col tg_type
4,22,2,big red ball,large red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
4,23,24,green ball,green ball,tg_col tg_type,tg_col tg_type
4,24,30,red ball,red ball,tg_col tg_type,tg_col tg_type
4,25,16,little green ball,small green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
4,26,22,little red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
4,27,10,little green ball,small green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
4,28,14,little red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
4,29,8,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
4,30,20,blue ball,blue ball,tg_col tg_type,tg_col tg_type
4,31,18,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
4,32,28,blue ball,blue ball,tg_col tg_type,tg_col tg_type
5,1,2,green ball,green ball,tg_col tg_type,tg_col tg_type
